Predictions,AUC,TSS,AUC-LT,TSS-LT,AUC-HR,TSS-HR
Model_B - original,0.912,0.717,0.732,0.374,0.963,0.824
Model_H - original,0.734,0.414,0.62,0.284,0.772,0.471
Model_R - original,0.919,0.756,0.684,0.29,0.98,0.882
Model_B - overlaid,0.916,0.742,0.732,0.38,0.967,0.856
Model_H - overlaid,0.735,0.406,0.62,0.286,0.772,0.46
Model_R - overlaid,0.919,0.756,0.684,0.29,0.98,0.882
Ensemble - unweighted,0.915,0.772,0.699,0.345,0.972,0.888
Ensemble - AUC-based weights,0.917,0.777,0.703,0.349,0.973,0.893
Ensemble - TSS-based weights,0.92,0.785,0.708,0.352,0.975,0.9
Ensemble - variance-based weights,0.888,0.67,0.713,0.344,0.936,0.764
